"matrix","time","row","col","value","sd","conf.low","conf.high","dates","report_prob_new"
"serop",1970-02-07,0,0,0.0437371901722206,0.00079782101491335,0.0421734897168812,0.0453008906275599,2022-01-20,0.6656
"beta",1970-02-08,0,0,0.619547098231013,0.0165360215836737,0.587137091479436,0.651957104982591,2022-01-21,0.6656
"report_prob",1970-02-08,0,0,0.6656,0,0.5,0.5,2022-01-21,0.6656
"inc",1970-02-08,0,0,0.108081115289254,0.00234976031637678,0.103475669696854,0.112686560881654,2022-01-21,0.6656
"serop",1970-02-08,0,0,0.0448924168523331,0.00078206209866664,0.0433596033052726,0.0464252303993935,2022-01-21,0.6656
"beta",1970-02-09,0,0,0.600220925302596,0.0159714608804865,0.568917437196352,0.63152441340884,2022-01-22,0.6656
"report_prob",1970-02-09,0,0,0.6656,0,0.5,0.5,2022-01-22,0.6656
"inc",1970-02-09,0,0,0.108133829038693,0.002435960109949,0.103359434955417,0.11290822312197,2022-01-22,0.6656
"serop",1970-02-09,0,0,0.0459423096356906,0.00077195441072,0.0444293067929725,0.0474553124784086,2022-01-22,0.6656
"beta",1970-02-10,0,0,0.584179325535561,0.0152791033573892,0.554232833239014,0.614125817832109,2022-01-23,0.6656
"report_prob",1970-02-10,0,0,0.6656,0,0.5,0.5,2022-01-23,0.6656
"inc",1970-02-10,0,0,0.108300105285175,0.00250636281782256,0.103387724430052,0.113212486140298,2022-01-23,0.6656
"serop",1970-02-10,0,0,0.0469009465713891,0.00076863695247121,0.0453944458273589,0.0484074473154193,2022-01-23,0.6656
"beta",1970-02-11,0,0,0.571476213020026,0.0144809765338368,0.543094020552736,0.599858405487316,2022-01-24,0.6378
"report_prob",1970-02-11,0,0,0.6378,0,0.5,0.5,2022-01-24,0.6378
"inc",1970-02-11,0,0,0.108670052397054,0.00255443809502485,0.103663445730068,0.11367665906404,2022-01-24,0.6378
"serop",1970-02-11,0,0,0.0477854734113441,0.0007721728898838,0.0462720423573336,0.0492989044653545,2022-01-24,0.6378
"beta",1970-02-12,0,0,0.562092889522971,0.0136043593660467,0.53542883513278,0.588756943913163,2022-01-25,0.6378
"report_prob",1970-02-12,0,0,0.6378,0,0.5,0.5,2022-01-25,0.6378
"inc",1970-02-12,0,0,0.109322479099568,0.00257685753878931,0.104271931130251,0.114373027068886,2022-01-25,0.6378
"serop",1970-02-12,0,0,0.0486152905563624,0.00078162240313804,0.0470833387967022,0.0501472423160226,2022-01-25,0.6378
"beta",1970-02-13,0,0,0.555953082975731,0.0126828078694241,0.531095236328819,0.580810929622644,2022-01-26,0.6378
"report_prob",1970-02-13,0,0,0.6378,0,0.5,0.5,2022-01-26,0.6378
"inc",1970-02-13,0,0,0.110324519540334,0.00257295133091589,0.105281627597765,0.115367411482904,2022-01-26,0.6378
"serop",1970-02-13,0,0,0.0494112906053346,0.00079531191752274,0.0478525078905146,0.0509700733201547,2022-01-26,0.6378
"beta",1970-02-14,0,0,0.552932889779515,0.0117588693970549,0.529885929262377,0.575979850296653,2022-01-27,0.6378
"report_prob",1970-02-14,0,0,0.6378,0,0.5,0.5,2022-01-27,0.6378
"inc",1970-02-14,0,0,0.1117317740711,0.00254430642826429,0.106745025106068,0.116718523036132,2022-01-27,0.6378
"serop",1970-02-14,0,0,0.0501951679710552,0.00081119097210514,0.048605262881145,0.0517850730609653,2022-01-27,0.6378
